url,fid,name,nick,birth_date,height,weight,association,class,locality,country,gender,age,age_at_start,num_fights,career_span_years
/fighter/Motonobu-Tezuka-19390,19390,Motonobu Tezuka,,1987-08-29,67.0,135.0,Cobra Kai MMA Dojo,Bantamweight,Nagano,Japan,Male,37,25.201916495550993,2.0,0.2683093771389459
/fighter/Paulo-Thiago-13336,13336,Paulo Thiago,,1981-01-25,71.0,170.0,X-Gym,Welterweight,"Brasilia, Federal District",Brazil,Male,44,28.073921971252567,12.0,5.557837097878165
/fighter/Ronny-Marki-Sales-da-Silva-21175,21175,Ronny Markes,,1988-04-21,73.0,190.0,Nova Uniao Kimura,Light Heavyweight,"Natal, Rio Grande do Norte",Brazil,Male,37,23.312799452429843,10.0,2.6064339493497606
/fighter/Matt-Veach-23350,23350,Matt Veach,,1981-05-31,67.0,170.0,Finney's HIT Squad,Welterweight,"Granite City, Illinois",United States,Male,43,27.690622861054074,3.0,1.1690622861054072
/fighter/Kyle-Watson-7127,7127,Kyle Watson,,1979-08-09,72.0,155.0,HIT Squad,Lightweight,"Granite City, Illinois",United States,Male,45,31.32101300479124,2.0,0.4024640657084189
/fighter/Frank-Caracci-211,211,Frank Caracci,,1970-02-16,67.0,205.0,,Light Heavyweight,"New Orleans, Louisiana",United States,Male,55,28.892539356605067,1.0,0.0
/fighter/Russell-Doane-30054,30054,Russell Doane,,1986-08-13,66.0,135.0,Hawaii Elite MMA,Bantamweight,"Waianae, Hawaii",United States,Male,38,27.394934976043807,8.0,4.139630390143737
/fighter/Brian-Foster-17723,17723,Brian Foster,,1984-04-04,70.0,155.0,factoryX Muay Thai,Lightweight,"Sallisaw, Oklahoma",United States,Male,41,25.45927446954141,4.0,1.1690622861054072
/fighter/Nick-Pace-40956,40956,Nick Pace,,1987-04-17,67.0,135.0,Team Tiger Schulmann,Bantamweight,"Staten Island, New York",United States,Male,38,23.633127994524298,3.0,0.9582477754962354
/fighter/Charlie-Valencia-503,503,Charlie Valencia,,1974-10-31,63.0,135.0,Millennia MMA,Bantamweight,"Los Angeles, California",United States,Male,50,36.49555099247091,1.0,0.0
/fighter/Jonathan-Brookins-17316,17316,Jonathan Brookins,,1985-08-13,72.0,135.0,Gracie Barra Orlando,Bantamweight,"Orlando, Florida",United States,Male,39,25.308692676249144,5.0,2.0314852840520192
/fighter/Fredson-Paixao-10432,10432,Fredson Paixao,,1979-05-13,70.0,145.0,Total Dojo,Featherweight,,England,Male,46,31.561943874058862,1.0,0.0
/fighter/Cheick-Kongo-2193,2193,Cheick Kongo,,1975-05-17,76.0,234.0,Kongo Smashin' Club,Heavyweight,Paris,France,Male,49,31.143052703627653,17.0,6.803559206023272
/fighter/Antoni-Hardonk-1518,1518,Antoni Hardonk,,1976-02-05,76.0,240.0,Dynamix MMA,Heavyweight,Weesp,Holland,Male,49,30.784394250513348,8.0,2.9322381930184807
/fighter/Rin-Nakai-18887,18887,Rin Nakai,,1986-10-22,61.0,135.0,Pancrase Venus,Bantamweight,"Matsuyama, Ehime",Japan,Female,38,27.912388774811774,2.0,1.4948665297741273
/fighter/Justin-Scoggins-71120,71120,Justin Scoggins,Tank,1992-05-02,67.0,125.0,,Flyweight,"Spartanburg, South Carolina",United States,Male,33,21.596167008898014,9.0,4.602327173169062
/fighter/Issei-Tamura-34371,34371,Issei Tamura,,1984-03-12,65.0,145.0,Krazy Bee,Featherweight,"Shinagawa, Tokyo",Japan,Male,41,27.956194387405887,3.0,1.054072553045859
/fighter/Raphael-Assuncao-9574,9574,Raphael Assuncao,,1982-07-19,65.0,135.0,Ascension MMA,Bantamweight,"Recife, Pernambuco",Brazil,Male,42,28.6652977412731,19.0,11.978097193702943
/fighter/Amilcar-Alves-23841,23841,Amilcar Alves,,1979-12-13,72.0,201.0,Nova Uniao,Light Heavyweight,"Rio de Janeiro, Rio de Janeiro",Brazil,Male,45,30.70773442847365,2.0,0.4024640657084189
/fighter/Brian-Melancon-43621,43621,Brian Melancon,,1982-05-28,68.0,170.0,Paradigm Training Center,Welterweight,"Houston, Texas",United States,Male,42,31.107460643394933,2.0,0.14510609171800137
/fighter/Elizabeth-Phillips-83021,83021,Elizabeth Phillips,,1986-08-20,66.0,135.0,SikJitsu,Bantamweight,"Spokane, Washington",United States,Female,38,27.81656399726215,4.0,2.184804928131417
/fighter/Brock-Larson-6373,6373,Brock Larson,,1977-08-23,71.0,170.0,Get Sum Athletic Compound,Welterweight,"Brainerd, Minnesota",United States,Male,47,28.112251882272417,6.0,4.134154688569473
/fighter/Jon-Manley-26632,26632,Jon Manley,,1986-07-07,72.0,170.0,Team Link,Welterweight,"Adams, Massachusetts",United States,Male,38,26.633812457221083,1.0,0.0
/fighter/Nordine-Taleb-26261,26261,Nordine Taleb,,1981-06-10,73.0,170.0,Tristar Gym,Welterweight,"Montreal, Quebec",Canada,Male,43,32.84873374401095,12.0,5.393566050650239
/fighter/Warlley-Alves-70750,70750,Warlley Alves,,1991-01-04,71.0,170.0,X-Gym,Welterweight,"Governador Valadares, Minas Gerais",Brazil,Male,34,23.4031485284052,16.0,9.96577686516085
