url,fid,name,nick,birth_date,height,weight,association,class,locality,country,gender,age
/fighter/Nikita-Krylov-110937,110937,Nikita Krylov,,1992-03-07,75.0,205.0,Vale Tudo MMA Academy,Light Heavyweight,Kiev,Ukraine,Male,33
/fighter/Tedd-Williams-248,248,Tedd Williams,,1969-12-19,72.0,250.0,Williams Combat Grappling,Heavyweight,"Hesperia, California",United States,Male,55
/fighter/Larissa-Pacheco-144115,144115,Larissa Pacheco,,1994-09-07,68.0,135.0,JB Jiu-Jitsu Team,Bantamweight,"Belem, Para",Brazil,Female,30
/fighter/Larissa-Moreira-Pacheco-144115,144115,Larissa Pacheco,,1994-09-07,68.0,135.0,JB Jiu-Jitsu Team,Bantamweight,"Belem, Para",Brazil,Female,30
/fighter/Daniel-Kelly-49516,49516,Daniel Kelly,,1977-10-31,72.0,185.0,Resilience Training Centre,Middleweight,"Melbourne, Victoria",Australia,Male,47
/fighter/Scott-Askham-40518,40518,Scott Askham,,1988-05-25,75.0,185.0,Atherton Submission Wrestling,Middleweight,"Doncaster, South Yorkshire",England,Male,36
/fighter/Joe-Merritt-138127,138127,Joe Merritt,Joey Slash,1984-03-07,72.0,169.0,Millennia MMA,Welterweight,"Rancho Cucamonga, California",United States,Male,41
/fighter/Wagner-Prado-53134,53134,Wagner Prado,Caldeirao,1987-12-30,73.0,205.0,Retz Muay Thai,Light Heavyweight,"Campinas, Sao Paulo",Brazil,Male,37
/fighter/Andre-Gusmao-15806,15806,Andre Gusmao,,1977-05-19,74.0,185.0,,Middleweight,"Goiania, Goias",Brazil,Male,47
/fighter/Icho-Larenas-10502,10502,Icho Larenas,El Dogo,1982-12-03,73.0,235.0,,Heavyweight,,Canada,Male,42
/fighter/Chris-Spang-40205,40205,Chris Spang,The Kiss,1987-11-26,74.0,171.0,J-Sect MMA,Welterweight,"Las Vegas, Nevada",United States,Male,37
/fighter/Mike-King-50928,50928,Mike King,,1983-08-04,75.0,184.0,Buckeye MMA,Middleweight,"Perrysburg, Ohio",United States,Male,41
/fighter/Harry-Moskowitz-176,176,Harry Moskowitz,Dirty,1968-07-16,77.0,275.0,,Super Heavyweight,"Ocean Springs, Mississippi",United States,Male,56
/fighter/Melton-Bowen-51,51,Melton Bowen,The Punisher,1969-03-10,72.0,225.0,,Heavyweight,"Irmo, South Carolina",United States,Male,56
/fighter/Bob-Gilstrap-197,197,Bob Gilstrap,,1974-07-16,75.0,210.0,,Heavyweight,"Seattle, Washington",United States,Male,50
/fighter/Justin-Eilers-5936,5936,Justin Eilers,,1978-06-28,73.0,235.0,Miletich Martial Arts,Heavyweight,"Nampa, Idaho",United States,Male,46
/fighter/Koji-Kitao-134,134,Koji Kitao,Mitsuharu,1963-08-12,79.0,390.0,New Japan Pro Wrestling,Super Heavyweight,"Tsu, Mie",Japan,Male,61
/fighter/Yuri-Vaulin-171,171,Yuri Vaulin,,1963-09-13,76.0,207.0,,,Riga,Latvia,Male,61
/fighter/Misha-Cirkunov-59197,59197,Misha Cirkunov,,1987-02-27,75.0,205.0,Xtreme Couture,Light Heavyweight,Riga,Latvia,Male,38
/fighter/Krzysztof-Jotko-53380,53380,Krzysztof Jotko,,1989-08-19,73.0,185.0,Planet Eater,Middleweight,Orneta,Poland,Male,35
/fighter/Eliot-Marshall-15104,15104,Eliot Marshall,The Fire,1980-07-07,75.0,205.0,Grudge Training Center,Light Heavyweight,"Boulder, Colorado",United States,Male,44
/fighter/Jon-Madsen-48820,48820,Jon Madsen,,1980-02-12,72.0,222.0,HIT Squad,Heavyweight,"Granite City, Illinois",United States,Male,45
/fighter/Jason-Saggo-58213,58213,Jason Saggo,,1985-11-23,71.0,155.0,Wulfrun MMA,Lightweight,"Bolton, Ontario",Canada,Male,39
/fighter/Edson-Mendes-Barboza-Jr-46259,46259,Edson Barboza,,1986-01-21,71.0,155.0,Ricardo Almeida Jiu-Jitsu,Lightweight,"Nova Friburgo, Rio de Janeiro",Brazil,Male,39
/fighter/Bec-Hyatt-84964,84964,Bec Rawlings,Rowdy,1989-02-11,66.0,116.0,Gamebred Combat Club,Strawweight,"Brisbane, Queensland",Australia,Female,36
/fighter/Joaquim-Silva-146291,146291,Joaquim Silva,Netto BJJ,1989-02-05,68.0,155.0,Evolucao Thai,Lightweight,"Anapolis, Goias",Brazil,Male,36
/fighter/Darren-Till-73436,73436,Darren Till,,1992-12-24,72.0,170.0,Astra Fight Team,Welterweight,"Liverpool, Merseyside",England,Male,32
/fighter/Arnold-Allen-97499,97499,Arnold Allen,Almighty,1994-01-17,69.0,145.0,BKK Fighters,Featherweight,"Felixstowe, Suffolk",England,Male,31
/fighter/Damian-Stasiak-86920,86920,Damian Stasiak,Webster,1990-02-20,68.0,145.0,United Gym,Featherweight,Lodz,Poland,Male,35
/fighter/Alan-Omer-23437,23437,Alan Omer,,1988-09-14,69.0,145.0,Stallion Cage,Featherweight,"Erbil, Kurdistan Region",Iraq,Male,36
/fighter/Jocelyn-JonesLybarger-68957,68957,Jocelyn Jones-Lybarger,,1985-10-04,67.0,115.0,MMA Lab,Strawweight,"Phoenix, Arizona",United States,Female,39
/fighter/Michel-Gagnon-37404,37404,Mitch Gagnon,,1984-10-10,66.0,135.0,Troop MMA,Bantamweight,"Sudbury, Ontario",Canada,Male,40
/fighter/Aleksandra-Albu-144949,144949,Aleksandra Albu,Stitch,1990-07-14,62.0,115.0,Red Fury Fight Team,Strawweight,Moscow,Russia,Female,34
/fighter/Troy-Mandaloniz-12096,12096,Troy Mandaloniz,Rude Boy,1980-01-02,69.0,170.0,,Welterweight,"Hilo, Hawaii",United States,Male,45
/fighter/Mike-Jackson-63272,63272,Mike Jackson,The Truth,1985-03-22,74.0,170.0,4oz. Fight Club,Welterweight,"Houston, Texas",United States,Male,40
/fighter/Alex-Nicholson-121077,121077,Alex Nicholson,The Spartan,1990-05-02,76.0,227.0,,Heavyweight,"Apopka, Florida",United States,Male,35
/fighter/Leonardo-Morales-111777,111777,Leonardo Morales,Chimmy,1992-12-22,71.0,137.0,Gladiadores MMA,,Managua,Nicaragua,Male,32
/fighter/Anying-Wang-135315,135315,Anying Wang,Smiley,1991-04-04,72.0,170.0,Phuket Top Team,Welterweight,,Mongolia,Male,34
/fighter/Randy-Brown-115641,115641,Randy Brown,Rude Boy,1990-07-08,74.0,171.0,Budokan Martial Arts Academy,Welterweight,Spanish Town,Jamaica,Male,34
/fighter/Dileno-Lopes-29635,29635,Dileno Lopes,,1987-09-26,,135.0,Nova Uniao Manaus,Bantamweight,"Manacapuru, Amazonas",Brazil,Male,37
