name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Victor Martinez,The Brick,13,5,0,172.72,70.31,177.8,Orthodox,00:00.0,8.65,50,7.45,54,0.86,50,80,8.65,Male
Brendson Ribeiro,The Gorilla,15,5,0,190.5,92.99,205.74,Orthodox,00:00.0,8.46,46,5.29,64,0.0,0,0,8.46,Male
Kenny Ento,Tha' Dragon,14,15,0,187.96,87.09,,,,8.41,79,0.0,100,5.49,100,0,8.41,Male
Jacqueline Cavalcanti,,6,1,0,172.72,61.23,177.8,Orthodox,00:00.0,8.4,57,2.6,84,0.0,0,100,8.4,Male
Steven Nguyen,The Ninja,9,1,0,180.34,65.77,185.42,Switch,00:00.0,8.29,43,7.49,63,0.0,0,83,8.29,Male
Sean O'Haire,,4,2,0,195.58,122.47,,Orthodox,00:00.0,8.28,57,22.76,21,0.0,0,0,8.28,Male
Victor Henry,La Mangosta,23,6,0,170.18,61.23,172.72,Switch,00:00.0,8.26,54,5.95,47,0.0,0,78,8.26,Male
Ikram Aliskerov,,15,1,0,182.88,83.91,193.04,Southpaw,00:00.0,8.24,65,7.15,36,2.33,33,0,8.24,Male
Sergei Pavlovich,,18,2,0,190.5,116.57,213.36,Southpaw,00:00.0,8.21,48,4.61,55,0.0,0,75,8.21,Male
Max Mustaki,,6,3,0,182.88,70.31,,Orthodox,00:00.0,8.2,50,13.0,45,0.0,0,0,8.2,Male
Kiefer Crosbie,BDK,10,4,0,180.34,77.11,177.8,Switch,00:00.0,8.1,66,6.02,50,0.0,0,0,8.1,Male
Caio Machado,Bigfoot,8,1,1,193.04,113.4,198.12,Southpaw,00:00.0,8.07,69,1.13,71,0.0,0,100,8.07,Male
Dean Hancock,The Hammer,2,1,0,,70.31,,,,7.97,63,1.94,67,1.71,33,75,7.97,Male
Al Matavao,Sweetness,8,3,0,172.72,92.99,170.18,Orthodox,00:00.0,7.84,46,6.7,58,0.0,0,0,7.84,Male
Gaston Reyno,Tonga,6,2,0,182.88,65.77,,,,7.79,62,3.9,44,0.0,0,0,7.79,Male
Ricky Palacios,El Gallero,10,1,0,167.64,65.77,,Orthodox,00:00.0,7.73,53,3.27,59,0.0,0,100,7.73,Male
Matt Van Buren,Gutter,7,6,0,195.58,92.99,,,,7.73,45,6.82,49,0.0,0,50,7.73,Male
Tom Aspinall,,14,3,0,195.58,116.12,198.12,Orthodox,00:00.0,7.72,66,2.77,66,3.46,100,100,7.72,Male
Billy Quarantillo,,18,5,0,177.8,65.77,177.8,Orthodox,00:00.0,7.71,57,5.61,43,1.31,23,63,7.71,Male
Eduardo Neves,Bebezao,7,2,0,187.96,119.29,198.12,Orthodox,00:00.0,7.69,65,6.15,55,5.77,66,0,7.69,Male
Jhonata Diniz,,6,0,0,193.04,115.21,200.66,Orthodox,00:00.0,7.69,42,7.38,36,0.0,0,100,7.69,Male
Ryan Janes,,10,3,0,190.5,83.91,193.04,Orthodox,00:00.0,7.69,48,5.53,59,0.35,100,58,7.69,Male
Sam Oropeza,,13,3,0,187.96,77.11,,,,7.68,56,1.44,70,3.6,33,100,7.68,Male
Martin Bravo,El Toro,11,3,0,172.72,65.77,180.34,Southpaw,00:00.0,7.66,39,5.72,51,2.6,35,85,7.66,Male
George Zuniga,,3,1,0,175.26,83.91,,,,7.64,38,5.45,37,0.0,0,100,7.64,Male
Roger Carroll,The Leprechaun,16,14,0,177.8,77.11,,,,7.62,61,10.48,43,0.0,0,100,7.62,Male
Daniel Allen,,5,0,0,182.88,70.31,190.5,Southpaw,00:00.0,7.6,51,5.87,53,2.0,66,100,7.6,Male
Aalon Cruz,,8,4,0,182.88,65.77,198.12,Switch,00:00.0,7.58,39,8.88,58,0.0,0,0,7.58,Male
AJ Cunningham,The Savage,10,3,0,177.8,65.77,180.34,Orthodox,00:00.0,7.58,24,11.32,54,0.0,0,0,7.58,Male
Lucas Gamaza,,8,4,0,,77.11,,,,7.57,31,6.99,45,0.0,0,0,7.57,Male
Leslie Smith,The Peacemaker,10,7,1,175.26,61.23,167.64,Orthodox,00:00.0,7.56,40,8.41,51,0.0,0,62,7.56,Female
Shara Magomedov,Bullet,12,0,0,187.96,83.91,185.42,Orthodox,00:00.0,7.53,73,4.33,28,0.0,0,57,7.53,Male
Antonio Jones,Doomsday,6,1,0,180.34,83.91,,Orthodox,00:00.0,7.5,55,30.0,42,0.0,0,0,7.5,Male
Mounir Lazzez,The Sniper,11,3,0,185.42,77.11,193.04,Orthodox,00:00.0,7.49,55,5.42,53,1.8,57,71,7.49,Male
Micol Di Segni,,7,3,0,160.02,52.16,152.4,Orthodox,00:00.0,7.47,40,5.87,33,0.0,0,37,7.47,Male
Shane Burgos,Hurricane,15,3,0,180.34,65.77,190.5,Orthodox,00:00.0,7.4,52,6.78,56,0.43,44,91,7.4,Male
Justin Gaethje,The Highlight,25,4,0,180.34,70.31,177.8,Orthodox,00:00.0,7.35,60,7.5,53,0.13,25,75,7.35,Male
Thomas Paull,Juggernaut,11,4,0,170.18,70.31,170.18,Orthodox,00:00.0,7.33,33,8.67,64,0.0,0,0,7.33,Male
Jamahal Hill,Sweet Dreams,12,1,0,193.04,92.99,200.66,Southpaw,00:00.0,7.31,54,3.35,47,0.0,0,73,7.31,Male
Daniel Rodriguez,D-Rod,17,4,0,185.42,77.11,187.96,Southpaw,00:00.0,7.3,50,5.28,56,0.62,50,63,7.3,Male
Isaac Dulgarian,The Midwest Choppa,6,0,0,170.18,65.77,180.34,Orthodox,00:00.0,7.29,66,0.42,71,3.13,100,0,7.29,Male
Carlos Ulberg,Black Jag,10,1,0,193.04,92.99,195.58,Orthodox,00:00.0,7.29,59,3.59,52,0.95,75,75,7.29,Male
Cristiane Justino,Cyborg,21,2,0,172.72,65.77,172.72,Orthodox,00:00.0,7.28,52,2.25,64,0.66,55,94,7.28,Female
Teddy Ash,Bear,14,5,0,185.42,83.91,185.42,Switch,00:00.0,7.27,61,6.8,28,0.0,0,100,7.27,Male
Kyle Bolt,,8,4,0,187.96,83.91,,,,7.27,52,7.27,45,0.0,0,0,7.27,Male
Jeff Molina,El Jefe,11,2,0,167.64,56.7,175.26,Orthodox,00:00.0,7.25,48,5.04,55,0.0,0,66,7.25,Male
Sean O'Malley,Sugar,17,1,0,180.34,61.23,182.88,Switch,00:00.0,7.25,61,3.51,61,0.43,42,62,7.25,Male
Josiane Nunes,Josi,10,1,0,157.48,65.77,170.18,Southpaw,00:00.0,7.22,44,5.85,52,0.0,0,70,7.22,Female
Brennan Ward,The Irish Bad Boy,14,5,0,177.8,77.11,180.34,,,7.2,60,2.76,52,0.0,0,100,7.2,Male
Jack Della Maddalena,,16,2,0,180.34,77.11,185.42,Switch,00:00.0,7.2,53,4.83,67,0.27,20,82,7.2,Male
Ramon Taveras,The Savage,9,2,0,172.72,61.23,177.8,Southpaw,00:00.0,7.2,58,6.17,66,0.0,0,0,7.2,Male
Jacob Rosales,The Lil Badger,13,7,0,180.34,70.31,187.96,Orthodox,00:00.0,7.19,46,10.66,44,1.12,18,50,7.19,Male
Max Holloway,Blessed,25,7,0,180.34,65.77,175.26,Orthodox,00:00.0,7.17,47,4.75,59,0.27,53,84,7.17,Male
Juan Adams,The Kraken,5,3,0,195.58,120.2,203.2,Orthodox,00:00.0,7.09,55,4.06,34,0.91,66,57,7.09,Male
Rizvan Kuniev,,11,2,1,193.04,108.86,193.04,Orthodox,00:00.0,7.09,73,1.55,51,4.09,75,0,7.09,Male
Gokhan Saki,The Rebel,1,2,0,182.88,92.99,185.42,Orthodox,00:00.0,7.09,58,4.57,53,0.0,0,100,7.09,Male
Doug Marshall,The Rhino,18,8,0,177.8,92.99,,Orthodox,00:00.0,6.99,46,4.02,60,0.0,0,66,6.99,Male
Ignacio Bahamondes,La Jaula,14,5,0,190.5,70.31,190.5,Orthodox,00:00.0,6.97,46,4.36,57,0.0,0,85,6.97,Male
Uros Medic,The Doctor,9,1,0,185.42,77.11,180.34,Southpaw,00:00.0,6.97,61,3.92,58,0.53,100,80,6.97,Male
Waldo Cortes-Acosta,Salsa Boy,10,1,0,193.04,117.93,198.12,Orthodox,00:00.0,6.97,50,4.06,52,0.0,0,60,6.97,Male
Dricus Du Plessis,Stillknocks,20,2,0,185.42,83.91,193.04,Switch,00:00.0,6.95,55,3.79,53,2.72,50,40,6.95,Male
Emily Ducote,Gordinha,13,8,0,157.48,52.16,160.02,Orthodox,00:00.0,6.93,48,7.98,56,0.25,14,92,6.93,Female
HanSeul Kim,Spade,13,5,0,185.42,77.11,187.96,Southpaw,00:00.0,6.93,45,8.09,50,0.0,0,0,6.93,Male
Joanne Wood,JoJo,16,8,0,167.64,56.7,165.1,Orthodox,00:00.0,6.93,51,4.72,51,1.57,54,59,6.93,Female
JJ Okanovich,The Bosnian Bomber,7,1,0,180.34,70.31,193.04,Orthodox,00:00.0,6.93,55,5.27,50,0.0,0,100,6.93,Male
Bea Malecki,,4,1,0,175.26,61.23,187.96,Orthodox,00:00.0,6.84,46,6.96,62,0.0,0,78,6.84,Female
Alex Gilpin,,11,1,0,170.18,65.77,,Orthodox,00:00.0,6.8,54,12.29,42,2.17,25,0,6.8,Male
KyeungPyo Kim,Redhorse,11,4,0,175.26,70.31,180.34,Orthodox,00:00.0,6.77,46,6.32,63,3.87,40,100,6.77,Male
Bertrand Amoussou,,1,1,0,172.72,86.18,,Orthodox,,6.75,39,2.01,83,0.0,0,0,6.75,Male
Morgan Charriere,The Last Pirate,19,9,1,172.72,65.77,175.26,Orthodox,00:00.0,6.75,53,2.34,78,0.0,0,0,6.75,Male
Sasha Palatnikov,,6,4,0,185.42,77.11,182.88,Switch,00:00.0,6.69,53,5.44,52,0.72,100,70,6.69,Male
Joao Paulo Faria,,1,1,0,175.26,70.31,,,,6.69,64,2.09,85,1.25,50,0,6.69,Male
Felipe Olivieri,,14,5,0,175.26,70.31,,Orthodox,00:00.0,6.68,58,4.6,57,0.0,0,71,6.68,Male
Jean Matsumoto,,14,0,0,167.64,61.23,172.72,Orthodox,00:00.0,6.67,36,6.6,49,0.0,0,66,6.67,Male
Ian Garry,The Future,13,0,0,190.5,77.11,187.96,Orthodox,00:00.0,6.67,56,3.58,53,0.67,75,69,6.67,Male
