name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Ronnie Lawrence,The Heat,8,2,0,172.72,61.23,172.72,Switch,00:00.0,2.78,56,1.75,52,6.75,77,45,2.78,Male
Chad Mendes,Money,18,5,0,167.64,65.77,167.64,Orthodox,00:00.0,2.78,49,2.35,67,4.13,55,100,2.78,Male
Jailton Almeida,Malhadinho,20,2,0,190.5,92.99,200.66,Orthodox,00:00.0,2.78,64,0.52,43,5.14,55,75,2.78,Male
Liz Carmouche,Girlrilla,13,7,0,167.64,56.7,167.64,Orthodox,00:00.0,2.78,54,2.51,61,2.57,51,65,2.78,Female
Bret Bergmark,The Angry Hick,6,1,1,175.26,77.11,,,,2.78,52,2.78,37,4.17,100,50,2.78,Male
Francimar Barroso,Bodao,19,7,0,185.42,92.99,190.5,Orthodox,00:00.0,2.77,52,3.07,59,2.22,24,83,2.77,Male
Leonard Garcia,Bad Boy,18,13,1,177.8,65.77,172.72,Orthodox,00:00.0,2.77,24,4.79,52,0.3,26,42,2.77,Male
Andre Santos,Chatuba,38,10,0,182.88,77.11,,,,2.77,34,4.17,41,2.5,29,75,2.77,Male
Phil Baroni,The New York Bad Ass,15,18,0,175.26,77.11,182.88,Orthodox,00:00.0,2.77,45,3.93,40,1.46,47,60,2.77,Male
Andre Soukhamthath,The Asian Sensation,13,8,0,175.26,61.23,177.8,Orthodox,00:00.0,2.77,44,4.31,49,1.25,53,58,2.77,Male
Daniel Puder,,8,0,0,190.5,106.59,,Orthodox,00:00.0,2.77,68,1.17,38,1.21,50,81,2.77,Male
Jeka Saragih,,13,3,0,172.72,65.77,175.26,Orthodox,00:00.0,2.77,51,2.56,42,1.89,100,60,2.77,Male
Orion Cosce,Galaxy,8,2,0,180.34,77.11,180.34,Switch,00:00.0,2.77,53,4.02,44,1.92,40,61,2.77,Male
Dakota Bush,,8,4,0,177.8,70.31,185.42,Orthodox,00:00.0,2.77,38,4.42,41,2.4,33,0,2.77,Male
Mitch Gagnon,,12,5,0,165.1,61.23,165.1,Southpaw,00:00.0,2.76,46,2.21,61,1.16,25,65,2.76,Male
BJ Penn,The Prodigy,16,14,2,175.26,70.31,177.8,Orthodox,00:00.0,2.76,48,3.2,56,1.19,55,74,2.76,Male
Bo Nickal,,5,0,0,185.42,83.91,193.04,Southpaw,00:00.0,2.76,62,0.55,75,11.04,50,0,2.76,Male
Christian Colombo,,8,3,1,195.58,120.2,,Orthodox,00:00.0,2.76,44,4.02,42,0.0,0,33,2.76,Male
Caros Fodor,The Future,11,6,0,175.26,70.31,187.96,Orthodox,00:00.0,2.76,54,2.83,54,2.1,25,50,2.76,Male
Keisuke Sasu,Sasuke,11,3,1,165.1,65.77,175.26,Switch,00:00.0,2.76,49,2.42,48,3.76,40,61,2.76,Male
Yoshinori Horie,,8,2,0,172.72,65.77,177.8,Orthodox,00:00.0,2.76,49,5.65,48,0.0,0,0,2.76,Male
Stephan Bonnar,The American Psycho,15,9,0,193.04,92.99,200.66,Orthodox,00:00.0,2.76,38,3.01,52,1.32,40,60,2.76,Male
James Head,,9,4,0,185.42,77.11,185.42,Orthodox,00:00.0,2.75,48,3.11,49,0.41,100,66,2.75,Male
Danielle Taylor,Dynamite,9,4,0,152.4,52.16,152.4,Orthodox,00:00.0,2.75,29,3.31,71,0.2,20,70,2.75,Female
Mike Guymon,The Joker,15,6,1,182.88,77.11,187.96,Orthodox,00:00.0,2.75,65,0.79,66,1.87,37,54,2.75,Male
Rex Holman,Big Dog,4,2,0,190.5,92.99,,Southpaw,,2.75,34,7.25,40,0.0,0,100,2.75,Male
Youssef Zalal,The Moroccan Devil,10,5,1,177.8,61.23,182.88,Switch,00:00.0,2.75,48,1.75,64,2.14,31,60,2.75,Male
AJ McKee,Mercenary,8,0,0,177.8,65.77,,,,2.75,32,0.92,80,11.01,100,100,2.75,Male
Aleksander Emelianenko,,23,7,0,198.12,115.67,,Orthodox,00:00.0,2.75,41,1.7,65,2.32,72,66,2.75,Male
Jack Marshman,The Hammer,23,10,0,182.88,83.91,185.42,Orthodox,00:00.0,2.74,25,4.19,56,0.0,0,20,2.74,Male
Mike Pyle,Quicksand,27,14,1,182.88,77.11,187.96,Orthodox,00:00.0,2.74,45,2.84,60,1.8,35,70,2.74,Male
Yizha,,24,4,0,170.18,65.77,180.34,Orthodox,00:00.0,2.74,42,2.15,51,4.83,34,61,2.74,Male
Kevin Burns,The Fire,12,7,0,177.8,77.11,187.96,Orthodox,00:00.0,2.74,38,4.3,52,0.28,50,47,2.74,Male
Bryan Vetell,,4,3,0,190.5,120.2,,Southpaw,00:00.0,2.74,60,2.13,41,0.0,0,0,2.74,Male
Rob Wilkinson,Razor,11,2,0,190.5,83.91,203.2,Orthodox,00:00.0,2.74,50,5.66,39,4.47,25,0,2.74,Male
Kyron Bowen,Bullseye,9,5,0,190.5,83.91,185.42,Orthodox,00:00.0,2.73,57,2.05,40,0.0,0,0,2.73,Male
Kyle Driscoll,KD,12,3,0,180.34,65.77,187.96,Orthodox,00:00.0,2.73,32,2.6,58,2.0,18,0,2.73,Male
Brad Imes,Hillbilly Heartthrob,13,7,0,200.66,120.2,,Orthodox,00:00.0,2.73,31,4.24,49,1.72,71,0,2.73,Male
Emilio Chavez,,12,9,0,175.26,65.77,,,,2.73,48,1.53,54,3.0,50,0,2.73,Male
Tim Gorman,The Psycho,9,4,0,165.1,61.23,,Southpaw,00:00.0,2.73,31,5.57,46,1.0,9,33,2.73,Male
Jaime Alvarez,,6,1,0,172.72,56.7,175.26,Orthodox,00:00.0,2.73,40,4.53,56,1.0,33,50,2.73,Male
Hernani Perpetuo,,18,5,0,182.88,77.11,,Orthodox,00:00.0,2.73,29,4.37,55,0.0,0,37,2.73,Male
Caio Borralho,The Natural,15,1,0,177.8,83.91,190.5,Southpaw,00:00.0,2.73,58,1.98,60,2.16,63,57,2.73,Male
Danny Martinez,The Gremlin,21,8,0,167.64,56.7,170.18,Orthodox,00:00.0,2.73,28,3.77,63,3.0,45,36,2.73,Male
John Cofer,The Potter,8,4,0,175.26,70.31,,Southpaw,00:00.0,2.73,41,3.43,62,1.22,50,64,2.73,Male
Marcus Davis,The Irish Hand Grenade,22,11,0,177.8,77.11,177.8,Southpaw,00:00.0,2.72,39,2.79,65,1.6,48,47,2.72,Male
Ramiro Hernandez,Junior,19,9,0,175.26,61.23,,Orthodox,00:00.0,2.72,28,5.51,64,0.0,0,0,2.72,Male
Ulysses Gomez,Useless,9,5,0,167.64,56.7,,Orthodox,00:00.0,2.72,25,3.57,68,0.0,0,0,2.72,Male
Cain Carrizosa,The Insane,10,3,0,172.72,70.31,,Orthodox,00:00.0,2.72,42,5.8,51,0.0,0,14,2.72,Male
Iuri Alcantara,Marajo,35,10,0,175.26,61.23,180.34,Southpaw,00:00.0,2.72,45,2.79,49,1.44,62,60,2.72,Male
Tae Hyun Bang,Supernatural,18,10,0,175.26,70.31,180.34,Switch,00:00.0,2.72,38,2.07,66,0.49,33,57,2.72,Male
Germaine de Randamie,The Iron Lady,10,4,0,175.26,61.23,180.34,Orthodox,00:00.0,2.72,46,2.14,65,0.0,0,69,2.72,Female
Diego Nunes,The Gun,19,7,0,167.64,65.77,170.18,Orthodox,00:00.0,2.72,43,2.59,58,1.18,44,65,2.72,Male
Pat Barry,HD,8,7,0,180.34,106.59,187.96,Orthodox,00:00.0,2.72,52,3.54,59,0.0,0,76,2.72,Male
Lodune Sincaid,,15,9,0,175.26,83.91,,Orthodox,00:00.0,2.72,42,6.17,57,0.0,0,75,2.72,Male
Rafael Cavalcante,Feijao,12,7,0,185.42,92.99,187.96,Orthodox,00:00.0,2.71,53,3.62,49,0.6,40,63,2.71,Male
Taiei Kin,,6,3,0,180.34,83.91,,Orthodox,00:00.0,2.71,60,1.33,52,0.0,0,55,2.71,Male
Kalib Starnes,,17,11,1,190.5,83.91,187.96,Orthodox,00:00.0,2.71,48,4.43,53,1.46,33,25,2.71,Male
Ovince Saint Preux,,26,17,0,190.5,92.99,203.2,Southpaw,00:00.0,2.71,47,3.14,46,1.15,38,66,2.71,Male
Ed Ratcliff,9mm,7,3,0,177.8,70.31,180.34,Orthodox,00:00.0,2.71,38,2.96,63,0.28,16,53,2.71,Male
Ian Loveland,The Barn Owl,18,10,0,172.72,65.77,,Orthodox,00:00.0,2.71,40,2.36,64,1.0,37,69,2.71,Male
Roldan Sangcha'an,The Executioner,4,2,0,162.56,56.7,,Orthodox,00:00.0,2.71,46,2.15,51,1.94,60,68,2.71,Male
Nate Marquardt,The Great,35,19,2,182.88,83.91,187.96,Orthodox,00:00.0,2.71,49,2.32,55,1.87,51,70,2.71,Male
Koyomi Matsushima,,13,6,0,170.18,65.77,167.64,Orthodox,00:00.0,2.7,47,2.83,59,9.0,52,33,2.7,Male
Alan Belcher,The Talent,18,8,0,187.96,83.91,190.5,Orthodox,00:00.0,2.7,41,3.1,59,0.44,26,55,2.7,Male
Anderson Dos Santos,Berinja,21,9,0,165.1,61.23,177.8,Orthodox,00:00.0,2.7,25,5.37,49,0.98,14,66,2.7,Male
Montana De La Rosa,,12,9,1,170.18,56.7,172.72,Orthodox,00:00.0,2.7,36,3.21,44,1.71,31,64,2.7,Female
Tadao Yasuda,,2,4,0,193.04,140.61,,Orthodox,00:00.0,2.7,73,0.85,60,0.75,14,0,2.7,Male
Viviane Pereira,Sucuri,13,2,0,154.94,52.16,160.02,Orthodox,00:00.0,2.7,30,4.48,58,0.25,100,28,2.7,Female
Liliya Shakirova,,8,2,0,162.56,56.7,165.1,Orthodox,00:00.0,2.7,30,2.58,74,0.0,0,0,2.7,Female
Brandon Thatch,Rukus,11,5,0,187.96,77.11,187.96,Switch,00:00.0,2.7,42,3.63,52,1.36,66,50,2.7,Male
Antonio Banuelos,,20,11,1,165.1,61.23,160.02,Orthodox,00:00.0,2.69,33,3.15,58,1.62,62,86,2.69,Male
Jai Herbert,Black Country Banger,12,5,1,185.42,70.31,195.58,Orthodox,00:00.0,2.69,41,3.15,45,0.2,10,57,2.69,Male
Manny Tapia,The Mangler,12,14,1,165.1,61.23,170.18,Orthodox,00:00.0,2.69,21,4.74,58,0.49,40,66,2.69,Male
Joshua Burkman,The People's Warrior,28,16,0,177.8,77.11,182.88,Orthodox,00:00.0,2.69,43,3.13,51,2.53,36,72,2.69,Male
Kris McCray,Savage,8,5,0,182.88,77.11,193.04,Orthodox,00:00.0,2.69,45,2.57,54,2.88,55,38,2.69,Male
SeungGuk Choi,,7,3,0,167.64,56.7,162.56,Orthodox,00:00.0,2.69,42,2.69,65,1.02,27,74,2.69,Male
Michael McDonald,Mayday,17,4,0,175.26,61.23,177.8,Orthodox,00:00.0,2.69,42,2.76,57,1.09,66,52,2.69,Male
Diego Sanchez,Nightmare,31,13,0,177.8,77.11,182.88,Southpaw,00:00.0,2.69,37,3.02,56,1.51,24,46,2.69,Male
Lina Lansberg,Elbow Queen,10,8,0,170.18,61.23,165.1,Orthodox,00:00.0,2.69,55,3.87,44,0.52,27,47,2.69,Female
Jesse Lennox,The Ox,14,4,0,175.26,77.11,182.88,Orthodox,00:00.0,2.69,32,3.2,64,1.22,66,63,2.69,Male
Edson Silva,Paredao,14,12,0,,92.99,,Orthodox,,2.69,14,5.37,50,0.0,0,0,2.69,Male
Jonathan Brookins,,16,10,0,182.88,65.77,187.96,Southpaw,00:00.0,2.69,39,3.63,56,1.94,17,80,2.69,Male
Justin Edwards,Fast Eddy,9,5,0,177.8,70.31,177.8,Orthodox,00:00.0,2.68,42,3.32,51,2.14,26,27,2.68,Male
Anthony Rocco Martin,,17,6,0,182.88,77.11,185.42,Orthodox,00:00.0,2.68,37,2.59,58,0.71,27,68,2.68,Male
Ivan Cole,JP,2,3,0,175.26,61.23,,,,2.68,36,4.69,46,0.0,0,0,2.68,Male
Joe Duffy,Irish,16,5,0,177.8,70.31,185.42,Orthodox,00:00.0,2.68,34,3.78,54,0.96,66,64,2.68,Male
Justin Sumter,,7,3,0,187.96,83.91,203.2,Southpaw,00:00.0,2.68,48,7.64,34,2.87,100,0,2.68,Male
Andrews Nakahara,,5,4,2,185.42,83.91,,Orthodox,00:00.0,2.68,44,1.9,57,0.0,0,72,2.68,Male
Kevin Natividad,Quicksand,9,4,0,167.64,61.23,177.8,Orthodox,00:00.0,2.68,34,4.29,47,3.66,50,83,2.68,Male
Josh Culibao,Kuya,11,2,1,177.8,65.77,185.42,Orthodox,00:00.0,2.68,42,3.29,56,0.0,0,72,2.68,Male
Jake Rosholt,,12,5,0,185.42,83.91,,Orthodox,00:00.0,2.68,53,2.33,49,6.51,68,0,2.68,Male
Bart Palaszewski,Bartimus,36,17,0,175.26,65.77,177.8,Orthodox,00:00.0,2.67,32,3.97,57,0.65,31,53,2.67,Male
Chad Griggs,The Grave Digger,11,3,0,185.42,92.99,185.42,Orthodox,00:00.0,2.67,50,2.22,46,1.51,66,41,2.67,Male
Dan Moret,The Hitman,13,6,0,182.88,70.31,185.42,Southpaw,00:00.0,2.67,43,3.56,43,1.25,27,45,2.67,Male
Nora Cornolle,,7,1,0,170.18,61.23,170.18,Orthodox,00:00.0,2.67,51,1.2,57,0.0,0,37,2.67,Female
Jose Palacios,,3,2,0,175.26,65.77,,Orthodox,,2.67,70,1.0,79,0.0,0,50,2.67,Male
Karolina Wojcik,Polish Assassin,9,2,0,157.48,52.16,,Orthodox,00:00.0,2.67,65,0.87,62,2.0,66,100,2.67,Male
Dakota Cochrane,,29,12,0,172.72,70.31,,,,2.66,75,2.66,30,4.43,33,0,2.66,Male
Guangyou Ning,Smasher,5,4,1,162.56,65.77,162.56,Southpaw,00:00.0,2.66,41,1.91,61,1.09,50,62,2.66,Male
Edson Gomez,,6,2,0,172.72,77.11,175.26,Switch,00:00.0,2.66,32,8.78,45,0.0,0,0,2.66,Male
Jason Brilz,Hitman,22,6,1,180.34,92.99,180.34,Orthodox,00:00.0,2.66,40,1.78,65,2.37,25,25,2.66,Male
Elise Reed,,7,4,0,160.02,52.16,160.02,Orthodox,00:00.0,2.66,49,3.06,52,0.58,60,42,2.66,Female
Abel Trujillo,Killa,15,8,0,172.72,70.31,177.8,Orthodox,00:00.0,2.65,41,2.31,59,2.18,45,40,2.65,Male
CB Dollaway,The Doberman,17,9,0,187.96,83.91,193.04,Orthodox,00:00.0,2.65,47,2.58,54,3.55,54,62,2.65,Male
Nick Hein,Sergeant,14,5,0,167.64,70.31,167.64,Southpaw,00:00.0,2.65,35,3.61,59,0.86,33,83,2.65,Male
Urijah Faber,The California Kid,35,11,0,167.64,61.23,170.18,Orthodox,00:00.0,2.65,40,2.59,64,1.54,30,58,2.65,Male
Francisco Trevino,Sitkayan,13,3,0,175.26,70.31,177.8,Orthodox,00:00.0,2.65,42,2.42,64,0.97,22,41,2.65,Male
Kevin Croom,Crash,21,15,0,180.34,61.23,185.42,Orthodox,00:00.0,2.65,34,3.1,41,0.48,5,30,2.65,Male
John Cholish,,8,3,0,180.34,70.31,187.96,Orthodox,00:00.0,2.65,49,2.29,73,1.82,31,78,2.65,Male
Khalid Taha,The Warrior,13,5,0,165.1,61.23,175.26,Orthodox,00:00.0,2.64,32,4.12,46,0.0,0,61,2.64,Male
Davi Ramos,Tasmanian Devil,10,4,0,167.64,70.31,177.8,Orthodox,00:00.0,2.64,37,3.44,56,1.95,40,83,2.64,Male
Lorenzo Hood,Dream Killer,14,5,0,190.5,120.2,203.2,Southpaw,00:00.0,2.64,61,4.66,11,0.0,0,100,2.64,Male
Neil Wain,Old School,13,4,0,177.8,109.77,,Orthodox,,2.64,50,8.57,43,0.0,0,50,2.64,Male
Kevin Roddy,K-Rod,15,16,1,180.34,65.77,,,,2.64,30,2.38,60,0.0,0,50,2.64,Male
Journey Newson,,10,5,0,165.1,61.23,170.18,Orthodox,00:00.0,2.64,32,2.57,64,0.56,16,43,2.64,Male
Jordan Leavitt,The Monkey King,11,2,0,175.26,70.31,180.34,Southpaw,00:00.0,2.64,60,1.93,56,2.31,26,30,2.64,Male
Katsunori Kikuno,,24,8,2,172.72,65.77,167.64,Orthodox,00:00.0,2.64,40,2.47,61,1.88,75,76,2.64,Male
Vagner Rocha,Ceara,14,4,0,177.8,70.31,185.42,Orthodox,00:00.0,2.64,42,4.5,48,1.4,33,50,2.64,Male
Zak Ottow,The Barbarian,17,7,0,180.34,77.11,182.88,Orthodox,00:00.0,2.63,36,2.73,58,0.97,29,57,2.63,Male
Darrick Minner,,26,14,0,170.18,65.77,175.26,Orthodox,00:00.0,2.63,65,2.28,35,2.4,72,66,2.63,Male
Adam Meredith,,5,3,0,187.96,77.11,,,,2.63,50,2.11,55,7.89,100,100,2.63,Male
Kyle Bochniak,Killer B,8,5,0,170.18,65.77,177.8,Orthodox,00:00.0,2.63,31,5.11,58,1.14,15,62,2.63,Male
Rogerio Bontorin,,16,4,0,165.1,56.7,170.18,Orthodox,00:00.0,2.63,52,3.27,50,2.9,60,51,2.63,Male
Clay Guida,The Carpenter,38,20,0,170.18,70.31,177.8,Orthodox,00:00.0,2.63,33,3.01,61,3.16,36,69,2.63,Male
Matt Lindland,The Law,22,9,0,182.88,83.91,187.96,Southpaw,00:00.0,2.62,50,1.56,52,3.01,48,60,2.62,Male
Dave Terrel,The Bionic,7,7,0,172.72,77.11,,Southpaw,00:00.0,2.62,43,2.8,48,3.28,38,100,2.62,Male
Benji Radach,Razor,21,7,0,177.8,83.91,,Orthodox,00:00.0,2.62,49,2.31,51,1.06,41,71,2.62,Male
Mike Pierce,,17,7,0,172.72,77.11,180.34,Orthodox,00:00.0,2.62,42,2.36,62,3.08,42,71,2.62,Male
William Gomis,Jaguar,13,2,0,182.88,65.77,185.42,Southpaw,00:00.0,2.62,46,1.49,75,1.06,60,81,2.62,Male
Claudionor Fontinelle,,10,15,1,165.1,83.91,,Orthodox,,2.62,42,10.25,28,0.0,0,0,2.62,Male
Ross Pointon,The Gladiator,6,17,0,172.72,77.11,,Orthodox,00:00.0,2.62,23,2.77,58,1.19,100,0,2.62,Male
William Knight,Knightmare,11,5,0,177.8,92.99,185.42,Orthodox,00:00.0,2.62,56,3.3,35,1.78,40,48,2.62,Male
Darko Stosic,,13,4,0,182.88,92.99,193.04,Orthodox,00:00.0,2.61,45,4.04,58,3.42,50,83,2.61,Male
Eduardo Bustillos,,5,3,0,172.72,61.23,,,,2.61,59,6.22,35,0.0,0,100,2.61,Male
Peter Petties,The Joker,5,3,0,180.34,65.77,182.88,Southpaw,00:00.0,2.61,29,8.24,48,0.0,0,0,2.61,Male
Branden Lee Hinkle,The Iron Lion,17,11,0,190.5,106.59,,Orthodox,00:00.0,2.61,69,3.91,26,4.34,57,66,2.61,Male
Jon Fitch,,30,7,1,182.88,77.11,187.96,Orthodox,00:00.0,2.61,50,1.65,54,3.6,51,56,2.61,Male
Ricardo Funch,Golden Boy,9,6,0,177.8,77.11,187.96,Southpaw,00:00.0,2.61,65,3.57,40,1.24,18,60,2.61,Male
James Gray,The Phenom,4,1,0,175.26,61.23,,Orthodox,00:00.0,2.61,50,18.26,44,0.0,0,0,2.61,Male
Jesse Butler,,12,5,0,177.8,65.77,185.42,Orthodox,00:00.0,2.61,14,7.83,40,0.0,0,0,2.61,Male
Miesha Tate,Cupcake,19,9,0,167.64,61.23,165.1,Orthodox,00:00.0,2.61,44,3.1,51,1.88,29,55,2.61,Female
Loik Radzhabov,The Tajik Tank,17,5,1,180.34,70.31,175.26,Orthodox,00:00.0,2.61,42,5.31,46,7.3,52,50,2.61,Male
George Sotiropoulos,,14,7,0,177.8,70.31,180.34,Orthodox,00:00.0,2.61,27,2.52,67,2.32,31,53,2.61,Male
Greg Rebello,Ribz,24,8,0,182.88,108.86,185.42,Southpaw,00:00.0,2.61,39,2.92,58,0.0,0,0,2.61,Male
Emily Kagan,,3,3,0,160.02,52.16,,,,2.6,36,5.29,38,1.86,14,50,2.6,Female
Salim Touahri,Grizzly,10,4,0,177.8,77.11,182.88,Orthodox,00:00.0,2.6,46,2.87,58,0.0,0,83,2.6,Male
John Polakowski,Buckets of Blood,2,2,0,177.8,70.31,,Orthodox,00:00.0,2.6,26,2.83,50,0.0,0,87,2.6,Male
Andy Murad,The Tooth Fairy,15,2,0,175.26,83.91,,,,2.6,76,2.87,32,1.0,20,42,2.6,Male
Mickael Lebout,Ragnar,16,7,1,180.34,70.31,185.42,Orthodox,00:00.0,2.6,34,2.98,54,0.0,0,60,2.6,Male
Wesley Correira,Cabbage,20,16,0,190.5,117.93,,Orthodox,00:00.0,2.6,36,8.8,40,0.0,0,90,2.6,Male
Elizabeth Phillips,,6,6,0,167.64,61.23,165.1,Orthodox,00:00.0,2.6,33,3.07,58,0.75,25,53,2.6,Female
Dwight Joseph,,5,0,0,167.64,61.23,,Switch,00:00.0,2.6,52,2.87,55,1.0,20,20,2.6,Male
Kaleio Romero,KO,6,2,0,177.8,65.77,175.26,Switch,00:00.0,2.6,48,3.27,50,1.0,8,0,2.6,Male
Roger Zapata,Viva,4,2,0,180.34,77.11,,Southpaw,00:00.0,2.6,51,2.13,36,0.0,0,81,2.6,Male
Dinis Paiva Jr.,Sweetbread,13,8,0,175.26,65.77,180.34,Southpaw,00:00.0,2.6,41,2.73,67,0.0,0,81,2.6,Male
Devin Smyth,,4,2,0,177.8,77.11,182.88,Switch,00:00.0,2.6,68,6.73,25,4.0,26,100,2.6,Male
Brendan Seguin,,23,19,1,182.88,83.91,,,,2.6,45,0.6,84,5.0,62,100,2.6,Male
Gillian Robertson,The Savage,12,8,0,165.1,52.16,160.02,Orthodox,00:00.0,2.6,45,3.21,55,2.46,41,43,2.6,Female
Daniel Spitz,,6,3,0,200.66,111.13,208.28,Orthodox,00:00.0,2.6,35,5.3,46,0.74,66,0,2.6,Male
Olivier Murad,Warrior of God,6,0,0,177.8,65.77,182.88,Southpaw,00:00.0,2.6,36,2.2,61,1.0,100,55,2.6,Male
Won Sik Park,Parky,11,7,1,180.34,69.85,,Orthodox,,2.6,43,2.2,47,0.0,0,0,2.6,Male
Edgar Chairez,Puro Chicali,10,5,0,170.18,56.7,180.34,Orthodox,00:00.0,2.6,48,4.26,41,0.0,0,45,2.6,Male
Kailan Hill,,4,1,0,185.42,83.91,195.58,Southpaw,00:00.0,2.6,53,4.8,37,3.0,42,0,2.6,Male
Pete Sell,Drago,10,7,0,180.34,77.11,190.5,Orthodox,00:00.0,2.6,42,3.65,51,0.91,21,47,2.6,Male
Markus Perez,Maluko,12,5,0,185.42,83.91,185.42,Orthodox,00:00.0,2.6,47,3.72,52,0.81,25,77,2.6,Male
Lyoto Machida,The Dragon,24,8,0,185.42,83.91,187.96,Southpaw,00:00.0,2.59,53,1.57,61,1.21,65,75,2.59,Male
Magomed Mustafaev,The Sniper,14,4,0,172.72,70.31,180.34,Orthodox,00:00.0,2.59,58,2.68,41,3.31,50,23,2.59,Male
Tito Ortiz,The People's Champ,19,12,1,190.5,92.99,187.96,Orthodox,00:00.0,2.59,46,2.88,60,2.47,35,54,2.59,Male
Naho Sugiyuma,Sugi Rock,12,5,0,154.94,47.63,,,,2.59,48,2.45,71,2.05,100,66,2.59,Male
Ahmad Hassanzada,Lion of the Ring,10,2,0,185.42,70.31,190.5,Orthodox,00:00.0,2.59,34,4.42,40,2.5,22,0,2.59,Male
Trevor Prangley,,34,11,2,185.42,83.91,190.5,Orthodox,00:00.0,2.59,60,2.02,48,3.38,55,74,2.59,Male
Josh Thomson,The Punk,22,9,0,177.8,70.31,180.34,Orthodox,00:00.0,2.59,47,2.12,64,1.92,39,54,2.59,Male
Solomon Hutcherson,King,11,7,0,180.34,83.91,,Southpaw,00:00.0,2.59,39,2.59,64,3.53,100,0,2.59,Male
Seichi Ikemoto,,21,19,5,180.34,76.2,,Orthodox,00:00.0,2.59,32,3.74,57,1.23,26,60,2.59,Male
Chico Camus,The King,17,7,0,167.64,56.7,167.64,Orthodox,00:00.0,2.58,41,2.46,64,0.77,40,72,2.58,Male
Charlie Valencia,,12,7,0,160.02,61.23,162.56,Orthodox,00:00.0,2.58,37,2.61,77,1.4,53,75,2.58,Male
Chelsea Hackett,Hammer,3,1,1,162.56,56.7,167.64,Switch,00:00.0,2.58,51,4.85,46,0.0,0,57,2.58,Male
Alexandre Ferreira,Cacareco,18,6,0,170.18,92.99,,Orthodox,00:00.0,2.57,60,8.14,42,0.0,0,0,2.57,Male
Karl Roberson,Baby K,9,6,0,185.42,92.99,187.96,Southpaw,00:00.0,2.57,51,2.42,57,0.72,40,42,2.57,Male
Eric Shelton,Showtime,12,6,0,167.64,56.7,172.72,Orthodox,00:00.0,2.57,42,1.88,63,2.83,51,46,2.57,Male
Cat Zingano,Alpha,10,4,0,167.64,65.77,172.72,Southpaw,00:00.0,2.57,61,1.63,47,2.77,65,42,2.57,Female
Ryo Chonan,Piranah,22,13,0,175.26,77.11,177.8,Orthodox,00:00.0,2.57,43,2.25,60,0.61,41,39,2.57,Male
Nolan Ticman,,4,3,0,167.64,56.7,,Orthodox,00:00.0,2.57,47,2.53,67,0.0,0,60,2.57,Male
Danny Castillo,Last Call,17,10,0,175.26,70.31,180.34,Orthodox,00:00.0,2.57,42,1.96,62,2.95,38,63,2.57,Male
Edwin Figueroa,El Feroz,9,5,0,170.18,61.23,175.26,Orthodox,00:00.0,2.57,39,3.06,51,0.2,100,37,2.57,Male
Pat Healy,Bam Bam,34,23,0,182.88,70.31,182.88,Orthodox,00:00.0,2.57,36,2.57,50,3.08,37,55,2.57,Male
John Moraga,,19,7,0,167.64,56.7,167.64,Orthodox,00:00.0,2.57,43,2.55,56,0.62,23,44,2.57,Male
Paul Craig,Bearjew,17,6,1,190.5,83.91,193.04,Orthodox,00:00.0,2.57,46,2.85,46,1.91,23,42,2.57,Male
Mitch Raposo,,5,1,0,165.1,56.7,162.56,Switch,00:00.0,2.57,25,3.18,56,3.67,66,0,2.57,Male
Alex Karalexis,The Assassin,10,6,0,172.72,70.31,167.64,Orthodox,00:00.0,2.57,42,2.39,54,2.7,45,86,2.57,Male
Teemu Packalen,Pacu,8,3,0,185.42,70.31,190.5,Orthodox,00:00.0,2.57,54,3.91,47,2.31,25,100,2.57,Male
Matt Dwyer,,9,4,0,193.04,77.11,193.04,Orthodox,00:00.0,2.57,34,3.24,54,0.44,10,60,2.57,Male
Jacob Kilburn,The Killer,8,4,0,175.26,65.77,182.88,Orthodox,00:00.0,2.56,33,6.78,35,0.51,5,20,2.56,Male
Sam Patterson,,10,2,1,190.5,70.31,198.12,Orthodox,00:00.0,2.56,36,3.98,44,0.0,0,33,2.56,Male
Cristiano Marcello,,13,6,0,175.26,70.31,182.88,Orthodox,00:00.0,2.56,33,3.61,58,0.44,11,20,2.56,Male
Bobby McAndrews,,1,3,0,,,,Orthodox,,2.56,83,1.03,50,0.0,0,33,2.56,Male
Tommy Speer,,21,7,0,177.8,77.11,180.34,Orthodox,00:00.0,2.56,51,5.12,35,2.02,33,33,2.56,Male
Anthony Ruiz,El Toro,33,22,0,187.96,92.99,,Orthodox,00:00.0,2.56,64,1.67,28,1.43,31,21,2.56,Male
Logan Urban,Hulk,5,1,0,182.88,77.11,182.88,Orthodox,00:00.0,2.55,66,16.6,27,0.0,0,0,2.55,Male
Paul Georgieff,,6,2,0,187.96,77.11,,Orthodox,00:00.0,2.55,40,2.34,35,0.0,0,0,2.55,Male
Ricky Rainey,The Sniper,12,6,0,185.42,77.11,195.58,Switch,00:00.0,2.55,48,2.62,46,0.95,18,55,2.55,Male
